LV1_ISO,LV2_Category,VDI3233_No,HB,HRC,Material_Description,Composition_Heat_Treatment,Material_No,JIS,DIN,AISI_ASTM_SAE,BS,EN,AFNOR,SS,UNI,UNE_IHA,UNS,GOST,GB,Brands
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0037,STKM 12 C,St 37-2,-,4360 40 B,S235JR,E24-2,1311,Fe 360 B,16D,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0038,STKM 12 A,St 37-3,A570.36,4360 40 C,S275J2G3,E28-3,1312,Fe 360 D FF,ST14KP,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0045,SM 490 YA,S 355 JR,-,-,S 1207,E36-2,-,Fe 510 BFN,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.005,SS 50,St 50-2,A570 Gr. 50,4360 50 B,E 295,A50-2,2172,Fe 490,ST5PS,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.006,SM 58,St 60-2,A572 Gr. 65,4360 55 E,-,A60-2,1650,Fe 60-2,ST6PS,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0114,S 235 J0,-,En 40C,S 235 J0,E24-3,Fe 360 CFN,,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0143,S 275 J0,-,-,S 275 J0,E28-3,1414,Fe 430 C,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0144,"SM41C, SM400",St 44-3 N,A573 Gr. 81,4360 43C,S 275 J2 G3,E28-3,1412,Fe 430 D FF,ST14KP,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0149,Ro St 44-2,-,43C,S 275 J0 H,-,1412,Fe430C,,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0301,S10C,C10,1010,045M10,C10,"34C10, XC10",C10,F.1511,G10100,10,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.033,SPCC,St 12,-,DC 01,Fe P01,DC 01/Fe P01,1142,Fe P01,15KP,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0335,SPHE,D D 13 (StW 24),A622(1008),H S 3,D D 13,3C,FeP13,08KP,,,,,
P,Carbon Steels,1,125,,Non-alloyed steel,"About 0.15% C, Annealed",1.0338,SPCE,St 4,A620(1008),14491CR,Fe P04,Fe 14,1147,DC04/FeP04,08JU,,,,
